MODEL NAME,CATEGORY,YEAR NUMBER,MONTH,Total,Color
ADV150,AT,Year: 2022,1,311,blue
ADV150,AT,Year: 2022,2,540,blue
ADV150,AT,Year: 2022,3,881,blue
ADV150,AT,Year: 2022,4,798,blue
ADV150,AT,Year: 2022,5,581,blue
ADV150,AT,Year: 2022,6,447,blue
ADV150,AT,Year: 2022,7,108,blue
ADV150,AT,Year: 2022,8,53,blue
ADV150,AT,Year: 2022,9,16,blue
ADV150,AT,Year: 2022,10,12,blue
ADV150,AT,Year: 2022,11,8,blue
ADV150,AT,Year: 2022,12,4,blue
ADV150,AT,Year: 2023,1,4,blue
ADV150,AT,Year: 2023,2,2,blue
ADV150,AT,Year: 2023,3,2,blue
ADV150,AT,Year: 2023,4,2,blue
ADV150,AT,Year: 2023,5,1,blue
ADV160,AT,Year: 2022,10,83,blue
ADV160,AT,Year: 2022,11,623,blue
ADV160,AT,Year: 2022,12,1445,blue
ADV160,AT,Year: 2023,1,1510,blue
ADV160,AT,Year: 2023,2,1253,blue
ADV160,AT,Year: 2023,3,1627,blue
ADV160,AT,Year: 2023,4,1007,blue
ADV160,AT,Year: 2023,5,97,blue
ADV350,AT,Year: 2022,3,13,blue
ADV350,AT,Year: 2022,4,278,blue
ADV350,AT,Year: 2022,5,428,blue
ADV350,AT,Year: 2022,6,828,blue
ADV350,AT,Year: 2022,7,680,blue
ADV350,AT,Year: 2022,8,522,blue
ADV350,AT,Year: 2022,9,437,blue
ADV350,AT,Year: 2022,10,514,blue
ADV350,AT,Year: 2022,11,384,blue
ADV350,AT,Year: 2022,12,397,blue
ADV350,AT,Year: 2023,1,331,blue
ADV350,AT,Year: 2023,2,149,blue
ADV350,AT,Year: 2023,3,358,blue
ADV350,AT,Year: 2023,4,352,blue
ADV350,AT,Year: 2023,5,38,blue
CB150R,SPORT,Year: 2022,1,198,pink
CB150R,SPORT,Year: 2022,2,246,pink
CB150R,SPORT,Year: 2022,3,213,pink
CB150R,SPORT,Year: 2022,4,100,pink
CB150R,SPORT,Year: 2022,5,159,pink
CB150R,SPORT,Year: 2022,6,93,pink
CB150R,SPORT,Year: 2022,7,123,pink
CB150R,SPORT,Year: 2022,8,95,pink
CB150R,SPORT,Year: 2022,9,70,pink
CB150R,SPORT,Year: 2022,10,146,pink
CB150R,SPORT,Year: 2022,11,158,pink
CB150R,SPORT,Year: 2022,12,185,pink
CB150R,SPORT,Year: 2023,1,67,pink
CB150R,SPORT,Year: 2023,2,43,pink
CB150R,SPORT,Year: 2023,3,65,pink
CB150R,SPORT,Year: 2023,4,31,pink
CB150R,SPORT,Year: 2023,5,2,pink
CB300F,SPORT,Year: 2022,1,2,pink
CB300F,SPORT,Year: 2022,2,2,pink
CB300F,SPORT,Year: 2022,4,3,pink
CB300F,SPORT,Year: 2022,5,1,pink
CB300F,SPORT,Year: 2022,6,2,pink
CB300F,SPORT,Year: 2022,7,7,pink
CB300F,SPORT,Year: 2022,8,3,pink
CB300F,SPORT,Year: 2022,9,3,pink
CB300F,SPORT,Year: 2022,10,2,pink
CB300F,SPORT,Year: 2022,11,1,pink
CB300F,SPORT,Year: 2022,12,1,pink
CB300F,SPORT,Year: 2023,1,2,pink
CB300F,SPORT,Year: 2023,3,3,pink
CB300F,SPORT,Year: 2023,4,1,pink
CB300R,SPORT,Year: 2022,1,25,pink
CB300R,SPORT,Year: 2022,2,11,pink
CB300R,SPORT,Year: 2022,3,12,pink
CB300R,SPORT,Year: 2022,4,10,pink
CB300R,SPORT,Year: 2022,5,19,pink
CB300R,SPORT,Year: 2022,6,8,pink
CB300R,SPORT,Year: 2022,7,12,pink
CB300R,SPORT,Year: 2022,8,29,pink
CB300R,SPORT,Year: 2022,9,48,pink
CB300R,SPORT,Year: 2022,10,35,pink
CB300R,SPORT,Year: 2022,11,57,pink
CB300R,SPORT,Year: 2022,12,30,pink
CB300R,SPORT,Year: 2023,1,25,pink
CB300R,SPORT,Year: 2023,2,23,pink
CB300R,SPORT,Year: 2023,3,18,pink
CB300R,SPORT,Year: 2023,4,12,pink
CBR150,SPORT,Year: 2022,1,13,pink
CBR150,SPORT,Year: 2022,2,12,pink
CBR150,SPORT,Year: 2022,3,16,pink
CBR150,SPORT,Year: 2022,4,6,pink
